iter	Passed	Remaining
0	21	20985
1	42	21300
2	65	21612
3	86	21613
4	108	21563
5	129	21504
6	159	22675
7	184	22883
8	206	22704
9	228	22577
10	249	22423
11	270	22231
12	289	21979
13	309	21781
14	329	21636
15	350	21538
16	370	21452
17	391	21385
18	415	21450
19	436	21368
20	456	21259
21	476	21187
22	497	21144
23	519	21113
24	539	21043
25	559	20975
26	581	20938
27	601	20897
28	622	20847
29	643	20805
30	665	20792
31	688	20829
32	716	20985
33	808	22957
34	932	25723
35	980	26254
36	1018	26516
37	1058	26785
38	1098	27079
39	1132	27168
40	1167	27309
41	1197	27320
42	1257	27977
43	1304	28342
44	1326	28155
45	1349	27978
46	1380	27986
47	1400	27782
48	1421	27593
49	1432	27216
50	1453	27052
51	1474	26886
52	1495	26730
53	1516	26575
54	1538	26427
55	1558	26266
56	1578	26112
57	1600	25986
58	1620	25847
59	1642	25725
60	1664	25614
61	1687	25529
62	1709	25429
63	1731	25329
64	1758	25292
65	1782	25225
66	1804	25122
67	1827	25043
68	1851	24979
69	1876	24934
70	1901	24879
71	1924	24801
72	1947	24731
73	1974	24703
74	2002	24695
75	2028	24659
76	2055	24643
77	2078	24572
78	2100	24487
79	2120	24390
80	2140	24290
81	2161	24193
82	2181	24102
83	2202	24021
84	2222	23929
85	2244	23855
86	2264	23763
87	2285	23688
88	2306	23612
89	2328	23548
90	2348	23461
91	2368	23378
92	2389	23308
93	2412	23256
94	2434	23190
95	2455	23124
96	2477	23060
97	2501	23023
98	2522	22959
99	2544	22904
100	2566	22840
101	2587	22778
102	2609	22724
103	2630	22662
104	2652	22606
105	2673	22547
106	2696	22501
107	2718	22449
108	2741	22410
109	2765	22374
110	2792	22361
111	2816	22328
112	2838	22283
113	2860	22233
114	2881	22172
115	2902	22121
116	2924	22074
117	2945	22013
118	2965	21954
119	2989	21922
120	3011	21878
121	3031	21818
122	3052	21767
123	3073	21712
124	3094	21658
125	3114	21604
126	3137	21568
127	3167	21581
128	3204	21634
129	3233	21637
130	3257	21608
131	3283	21588
132	3313	21600
133	3335	21554
134	3355	21501
135	3376	21449
136	3395	21391
137	3416	21338
138	3438	21297
139	3458	21243
140	3490	21267
141	3511	21218
142	3533	21174
143	3554	21132
144	3575	21082
145	3596	21036
146	3618	20994
147	3639	20954
148	3659	20900
149	3678	20847
150	3703	20820
151	3723	20774
152	3744	20729
153	3764	20680
154	3785	20637
155	3808	20603
156	3834	20587
157	3960	21107
158	3982	21066
159	4006	21036
160	4028	20993
161	4050	20954
162	4072	20910
163	4092	20862
164	4114	20820
165	4137	20788
166	4159	20750
167	4183	20717
168	4206	20682
169	4229	20648
170	4252	20613
171	4274	20579
172	4299	20551
173	4322	20518
174	4344	20480
175	4367	20447
176	4388	20407
177	4410	20369
178	4433	20333
179	4455	20297
180	4477	20258
181	4499	20221
182	4522	20190
183	4544	20152
184	4566	20119
185	4587	20077
186	4607	20030
187	4627	19988
188	4648	19948
189	4670	19910
190	4692	19875
191	4713	19837
192	4734	19798
193	4755	19756
194	4775	19716
195	4798	19683
196	4819	19646
197	4840	19607
198	4861	19567
199	4883	19534
200	4906	19502
201	4927	19467
202	4949	19431
203	4970	19395
204	4993	19364
205	5019	19346
206	5041	19312
207	5064	19283
208	5085	19245
209	5105	19208
210	5128	19177
211	5151	19149
212	5173	19115
213	5194	19080
214	5216	19046
215	5238	19012
216	5257	18968
217	5278	18934
218	5302	18908
219	5329	18894
220	5364	18908
221	5399	18920
222	5427	18912
223	5455	18897
224	5484	18890
225	5508	18864
226	5530	18831
227	5550	18794
228	5570	18755
229	5591	18718
230	5612	18683
231	5631	18643
232	5653	18608
233	5672	18570
234	5693	18535
235	5713	18497
236	5735	18466
237	5756	18431
238	5777	18395
239	5797	18359
240	5818	18323
241	5838	18287
242	5860	18256
243	5882	18226
244	5903	18191
245	5924	18158
246	5945	18126
247	5967	18095
248	5991	18070
249	6014	18043
250	6035	18011
251	6057	17979
252	6078	17947
253	6098	17912
254	6120	17882
255	6146	17863
256	6171	17841
257	6236	17935
258	6275	17952
259	6297	17924
260	6318	17890
261	6339	17856
262	6361	17825
263	6383	17796
264	6405	17766
265	6428	17739
266	6450	17708
267	6472	17678
268	6495	17650
269	6517	17621
270	6539	17592
271	6561	17562
272	6583	17533
273	6607	17506
274	6629	17477
275	6649	17443
276	6672	17414
277	6696	17391
278	6717	17359
279	6739	17330
280	6761	17300
281	6782	17267
282	6803	17238
283	6826	17211
284	6847	17179
285	6870	17151
286	6891	17121
287	6913	17090
288	6935	17063
289	6960	17041
290	6983	17014
291	7004	16983
292	7027	16956
293	7048	16924
294	7069	16894
295	7091	16866
296	7113	16836
297	7134	16805
298	7154	16773
299	7176	16744
300	7197	16714
301	7218	16683
302	7239	16652
303	7260	16623
304	7281	16591
305	7301	16559
306	7322	16528
307	7342	16497
308	7362	16465
309	7383	16433
310	7402	16399
311	7423	16370
312	7446	16344
313	7466	16312
314	7488	16285
315	7510	16256
